id,date,vendor,amount,category,description,flagged,risk_score
4833ddd2-b7e0-49c5-80ad-dfc1b139d639,2023-01-01,Staples Corporate,103.84,Rent,Standard business expense,False,0.11
4639da73-40fc-4876-8041-47669cfcbbd8,2023-01-01,Staples Corporate,4995.0,Rent,Standard business expense,True,0.66
52a13d97-99a8-4e97-9104-0029997b6ecf,2023-01-01,Google Cloud,994.39,Software,Standard business expense,False,0.06
d54d2dd6-ce73-40fb-bf12-88f4d839d1e4,2023-01-01,Microsoft Azure,100.04,Utilities,Standard business expense,False,0.11
12dc1c24-5acc-44ae-87c2-629f7ef69eb0,2023-01-01,Delta Airlines,4990.0,Travel,Standard business expense,True,0.83
d87ba833-5a27-45ab-b1d5-57f4dd773abf,2023-01-02,WeWork,460.59,Utilities,Standard business expense,False,0.16
91abcba9-7a50-4515-9106-c2297f5c41dc,2023-01-02,Slack Technologies,506.52,Services,Standard business expense,False,0.12
8ab9b79d-b7fe-4f02-ac77-c928ce841c82,2023-01-02,Staples Corporate,212.03,Office Supplies,Standard business expense,False,0.16
e0167076-0be3-4334-b073-91e568a9a2a6,2023-01-02,WeWork,259.97,Office Supplies,Standard business expense,False,0.03
4ba43fba-2b74-4677-a7db-13c7c82ef774,2023-01-02,Delta Airlines,448.71,Utilities,Standard business expense,False,0.15
8b4f860c-2ca4-48eb-bdf1-40cb07680865,2023-01-02,WeWork,64.84,Office Supplies,Standard business expense,False,0.04
b196689d-136e-40ba-8d03-8843fa3db851,2023-01-02,Salesforce,332.2,Utilities,Standard business expense,False,0.12
778a2581-156a-467d-911f-02c8d03796c9,2023-01-02,Google Cloud,190.17,Rent,Standard business expense,False,0.09
43e9cb68-d818-4804-9fa2-b047aa1c47d1,2023-01-02,Salesforce,694.86,Software,Standard business expense,False,0.17
e2f6e6f4-b942-4d85-9f80-243dd2e4dcf1,2023-01-02,WeWork,663.56,Software,Standard business expense,False,0.12
8e9caea7-880f-4803-a631-4d6c7f7154c9,2023-01-02,Delta Airlines,593.29,Utilities,Standard business expense,False,0.14
a38bea4a-792d-432c-a010-d41eb7380026,2023-01-02,Google Cloud,78.58,Services,Standard business expense,False,0.16
5b3dc9d6-f6d6-4b64-a5fc-385044a610ec,2023-01-02,Salesforce,154.09,Software,Standard business expense,False,0.13
3c1c1d75-6051-4309-9de6-b7eb762d1c91,2023-01-02,Salesforce,204.32,Utilities,Standard business expense,False,0.16
87df3105-4077-444c-b5be-42f984f1bb77,2023-01-02,Salesforce,36.83,Utilities,Standard business expense,False,0.09
5e941337-990d-4089-b25b-50ff21c75afa,2023-01-02,Uber Business,705.6,Utilities,Standard business expense,False,0.19
42d71847-0dbd-402e-bedc-666e68652716,2023-01-02,WeWork,1440.99,Rent,Standard business expense,False,0.01
75192e3f-4df9-4c4d-a685-ec4a221705bc,2023-01-02,WeWork,196.69,Travel,Standard business expense,False,0.02
02ae4b01-07dd-4217-8823-1c7710b48948,2023-01-02,Hilton Hotels,189.87,Travel,Standard business expense,False,0.09
1603d6f2-69e0-474c-b45d-3769343f891d,2023-01-02,Slack Technologies,58.39,Travel,Standard business expense,False,0.07
